,,,,,,,,,,,,,,,,,,,,,,
MCZ CATALOG No.,ORDER,FAMILY,GENUS,SPECIES,DNA NUMBER,ID  DATE,# OF SPECIMENS,COUNTRY,STATE,MUNICIPALITY,LOCALITY,VEGETATION AND MICROHABITAT,COL. DATE,LATITUDE,,,LONGITUDE,,ELEVATION,COLLECTOR,PROJECT CATALOG/NOTES,PHOTOS
126266,,Rhachodesmidae,Aceratophallus,sp,,,"1_, 2__",MEXICO,Yucat‡n,,Locality 889. Yuccat‡n,??,ix-2011,21.45425,,,-88.16654,,,G. Giribet,,
80032,POLYDESMIDA,Sphaeriodesmidae,Cylionus,aff constrictus,,09/iv/2012,"1_, 2_",MEXICO,Chiapas,Angel Albino Corzo,"Reserva de la Bi—sfera El Triunfo, Campamento El Quetzal",Broadleft oak forest litter,21.v.2008,15.70997,,92.92914,-92.92914,,2180,R. S.A.,2008-026 LLAMA CATALOG,
125800,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,coriaceus,,09/iv/2012,"1_, 3__",MEXICO,Chiapas,MarquŽs de Comillas,Lago Metzabok,lowland wet forest ex sifted leaf litter,5.vi.2008,17.12659,,91.63035,-91.63035,,570,,Wa-A-06-1-all LLAMA CATALOG,
125802,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,sp,,10/iv/2012,1_,MEXICO,Chiapas,Coapilla,3.5 km NW Jct. Rds. Tapalapa/Ocotepec,"Oak/hardwood forest litter, ex sifted leaf litter",27.v.2008,17.17071,,93.13677,-93.13677,,1970,R. S.A.,2008-035 LLAMA CATALOG,
125809,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,aff longiramus,,10/iv/2012,1_ (just diplosegments 4th to 10th),MEXICO,Chiapas,MarquŽs de Comillas,Play—n de la Gloria,"Mature wet forest, ex sifted leaf litter",24.vi.2008,16.16036,,90.90148,-90.90148,,160,,Wa-A-09-1-all LLAMA CATALOG,
125817,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,sp nov,,11/iv/2012,1_,GUATEMALA,San Marcos,,Road Bojonal-Fraternidad,Cloud forest,11.ix.2008,14.94533,,91.88038,-91.88038,,1580,,RSA 2008-107 LLAMA CATALOG,
126034,POLYDESMIDA,Sphaeriodesmidae,Cylionus,aff constrictus,,12/iv/2012,2__,MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.15342,,93.60078,-93.60078,,1330,,Wa-A-01-2-all LLAMA CATALOG,
126051,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,sp nov,,15/iv/2012,1_,MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.16001,,93.60519,-93.60519,,1360,,Wa-A-01-1-all LLAMA CATALOG,
126067,POLYDESMIDA,Sphaeriodesmidae,Aff Cylionus,sp,,17/iv/2012,several juveniles specimens,MEXICO,Chiapas,Salto de Agua,8 km SE Salto de Agua,"Secondary wet forest, ex sifted leaf litter",14.vi.2008,17.51592,,92.30231,-92.30231,,100,,Wa-A-08-2-all LLAMA CATALOG,
126068,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,sp,,17/iv/2012,1 juvenile,MEXICO,Chiapas,Salto de Agua,8 km SE Salto de Agua,"Secondary wet forest, ex sifted leaf litter",14.vi.2008,17.51592,,92.30231,-92.30231,,100,,Wa-A-08-2-all LLAMA CATALOG,
126075,POLYDESMIDA,Sphaeriodesmidae,Aff Cylionus,sp,,17/iv/2012,4__ juveniles,MEXICO,Chiapas,San Cristobal de la Casas,Reserva Huitepec,"Under pines, cloud forest edge. Winkler ex sifted leaf letter",11.vii-2007,16.74476667,,92.6885333,-92.6885333,,2600,Longino,Coll. Code: JTL 6037-s; Specimen code: JTL-135427 LLAMA,
133031,19,Xystodesmidae,Rhysodesmus,,,,_,MEXICO,Hidalgo,Mineral de la Reforma,El Zopilote hill,Xerophitic vegetation. Under cactus leaf,31-V-2009,20.08402,20.08402222,,-98.72688888,"-98¡43«36.8""",2370,J. M‡rquez Luna,JBVMEX-394,
133032,20,Xystodesmidae,Rhysodesmus,,,,_,MEXICO,Hidalgo,Mineral de la Reforma,El Zopilote hill,Xerophitic vegetation. Under cactus leaf,31-V-2009,20.08402,20.08402222,,-98.72688888,"-98¡43«36.8""",2370,J. M‡rquez Luna,JBVMEX-393,
133033,21,Xystodesmidae,Rhysodesmus,,,,_,MEXICO,Chiapas,Uni—n Ju‡rez,"Loc. San Antonio hill, Tacan‡ volcano",Rain forest. Leaf litter,12-VI-2009,17.716667,,,-93.1,,,J. Bueno-Villegas,JBVMEX-411a,
133034,22,Xystodesmidae,Rhysodesmus,,,,_,MEXICO,MŽxico,Mineral de la Reforma,El Zopilote hill,Xerophitic vegetation. Under cactus leaf,31-V-2009,20.08402,20.08402222,,-98.72688888,"-98¡43«36.8""",2370,J. M‡rquez Luna,JBVMEX-389,
133035,23,Xystodesmidae,Rhysodesmus,,,,_,MEXICO,MŽxico,Mineral de la Reforma,El Zopilote hill,Xerophitic vegetation. Under cactus leaf,31-V-2009,20.08402,20.08402222,,-98.72688888,"-98¡43«36.8""",2370,J. M‡rquez Luna,JBVMEX-390,
126263,,Xystodesmidae,,,,,1_,USA,North Carolina,Ashe Co.,Mt. Jefferson S. P.,,15-vii-2005,36.40156,36.4015555,,-81.4697222,"-81¡28'11""",,R. Clouse,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
