,,,,,,,,,,,,,,,,,,,,,,
MCZ CATALOG No.,ORDER,FAMILY,GENUS,SPECIES,DNA NUMBER,ID  DATE,# OF SPECIMENS,COUNTRY,STATE,MUNICIPALITY,LOCALITY,VEGETATION AND MICROHABITAT,COL. DATE,LATITUDE,,,LONGITUDE,,ELEVATION,COLLECTOR,PROJECT CATALOG/NOTES,PHOTOS
126079,POLYDESMIDA,Chelodesmidae,??,??,,17/iv/2012,"1_ juvenile, 2__",MEXICO,Chiapas,San Cristobal de la Casas,Reserva Huitepec,"Under pines, cloud forest edge. Winkler ex sifted leaf letter",11.vii-2007,16.74476667,,92.6885333,-92.6885333,,2600,Longino,Coll. Code: JTL 6037-s; Specimen code: JTL-135427 LLAMA,
126259,,Chelodesmidae,,,,,_,GABON,Makokou,,"Locality 791: Reserve du Plateau d'Ipassa, OgooguŽ-Ivindo",,24-vi-2009,0.50745,0.50745,,12.79673333,12¡47.804,585,"L. Benavides, G. Giribet, J.F. Mavougou, J. Murienne",,
126261,,Chelodesmidae,,,,,_,CAMEROON,,,Giribet Locality 779,,vi-2009,4.844294032,,,9.683991009,,,,,
129741,,Chelodesmidae,??,??,,26/iv/2013,1_,BRAZIL,Roraima,Caracarai,"Locality 985: trail leading East of Caicub’, Rio Jufar’, ArquipŽlago de Mariu’ e Baixo Rio Branco, MŽdio Rio Negro",??,25-v-2012,-1.02896,,,-62.09178,,??,G. Giribet,"night, direct collecting",
133048,,Chelodesmidae,??,??,,26/iv/2013,1_,BRAZIL,??,"CHIU, ÀIgaorapi?",Caicabi trail,??,29-v-2012,,,,,,,G. Giribet,,
80033,POLYDESMIDA,Chelodesmidae/Rhachodesmidae,??,??,,09/iv/2012,1_,MEXICO,Chiapas,Angel Albino Corzo,"Reserva de la Bi—sfera El Triunfo, Campamento El Quetzal",Broadleft oak forest litter,21.v.2008,15.70997,,92.92914,-92.92914,,2180,R. S.A.,2008-026 LLAMA CATALOG,
125785,POLYDESMIDA,Cryptodesmidae,Aff. Peridontodesmus,sp,,09/iv/2012,3__,MEXICO,Chiapas,Angel Albino Corzo,"Reserva de la Bi—sfera El Triunfo, Campamento El Quetzal",Oak-pine forest leaf litter,17.v.2008,15.72141,,92.93936,-92.93936,,1860,R. S.A.,2008-013 LLAMA CATALOG,
125804,POLYDESMIDA,Cryptodesmidae,Aff Peridontodesmus,??,,10/iv/2012,1_,MEXICO,Chiapas,Coapilla,4.5 km NW Jct. Rds. Tapalapa/Ocotepec,Shrubby cloud forest litter,27.v.2008,17.18263,,93.11807,-93.11807,,2180,,2008-036 LLAMA CATALOG,
125819,POLYDESMIDA,Cryptodesmidae,Aff Peridontodesmus,sp,,11/iv/2012,4__,GUATEMALA,San Marcos,,Road Bojonal-Fraternidad,Cloud forest,11.ix.2008,14.94533,,91.88038,-91.88038,,1580,,RSA 2008-107 LLAMA CATALOG,
125827,POLYDESMIDA,Cryptodesmidae,Aff Peridontodesmus,sp,,11/iv/2012,"2__, 7__ juveniles",GUATEMALA,Suchitepequez,Volc‡n Atitl‡n,9.5 km SE Santiago Atitl‡n,"Cloud forest, ex sifted leaf litter",10.ix.2008,14.55833,14.5583333,,91.19,91¡11.4« W,2060,M.G. B.,MGB-933 LLAMA CATALOG,
126065,POLYDESMIDA,Cryptodesmidae,??,??,,17/iv/2012,1_ juvenile,MEXICO,Chiapas,Salto de Agua,8 km SE Salto de Agua,"Secondary wet forest, ex sifted leaf litter",14.vi.2008,17.51592,,92.30231,-92.30231,,100,,Wa-A-08-2-all LLAMA CATALOG,
126077,POLYDESMIDA,Cryptodesmidae,Peridontodesmus,sp,,17/iv/2012,"5_,_ 10__",MEXICO,Chiapas,San Cristobal de la Casas,Reserva Huitepec,"Under pines, cloud forest edge. Winkler ex sifted leaf letter",11.vii-2007,16.74476667,,92.6885333,-92.6885333,,2600,Longino,Coll. Code: JTL 6037-s; Specimen code: JTL-135427 LLAMA,
126253,,Cryptodesmidae,Aporodesmus,sp,,,_,CAMEROON,,,"Giribet Locality 784: Campo Reserve, South of Grand Batanga",,17.vi.2009,2.863167,2.863166667,,9.89003333,9¡53.402',10,"L. Benavides, G. Chassant, G. Giribet, J. Murienne",,
126256,,Cryptodesmidae,Aff. Tanydesmus,sp,,,_,CAMEROON,Central Province,,"Giribet Locality 772: Ototomo forest, near Ngoumou",,06.vi.2009,3.646217,3.64621666,,11.2912833,11¡17.447',703,"L. Benavides, G. Giribet, G. N. Legrand, J. Murienne",,
126260,,Cryptodesmidae,,,,,,GABON,Makokou,,"Locality 793: Reserve du Plateau d'Ipassa, OgooguŽ-Ivindo",,25-v-2009,0.5044833,0.50448333,,12.79525,12¡47.715',499,"L. Benavides, G. Giribet, J.F. Mavougou, J. Murienne",,
129744,,Cryptodesmidae,??,??,,26/iv/2013,1 juvenile,BRAZIL,Roraima,Caracarai,"Locality 985: trail leading East of Caicub’, Rio Jufar’, ArquipŽlago de Mariu’ e Baixo Rio Branco, MŽdio Rio Negro",??,25-v-2012,-1.02896,,,-62.09178,,??,G. Giribet,"night, direct collecting",DSC_7739-7747
129746,,Cryptodesmidae,??,??,,30/v/2012,1_ juvenile,BRAZIL,Amazonas,Manaus,Transect between localities 9lorestal Adolpho Ducke,??,17-v-2012,-2.93112,,,-59.97282,,66,"G. Hormiga, G. Giribet","night, direct collecting",
129747,,Cryptodesmidae,Aff. Chonodesmus,sp,,30/v/2012,"1_, 1_",BRAZIL,Amazonas,Manaus,Locality 981: Reserva Florestal Adolpho Ducke,??,12-v-2012,-2.93349,,,-59.96895,,74,"L. R. Benavides, G. Giribet",leaf litter sifting,
129755,,Cryptodesmidae,??,??,,30/v/2013,"1_ juvenile, 2__",BRAZIL,Roraima,Caracarai,"Locality 993: trail leading East of Caicubi, Rio Jufari, ArquipŽlago de Muriu’ e Baixo Rio Branco, Medio Rio Negro",??,29-v-2012,-1.02868,,,-62.08985,,21,"L. R. Benavides, J. Ballesteros, G. Giribet, G. Hormiga, R. Indicatti, W. Porto, C. Rheims",leaf litter sifting plus winkler,
129764,,Cryptodesmidae,??,??,,28/iv/2013,1_,PAPUA NEW GUINEA,Madang Province,Madang,Locality 460. Bitabag Reserve,??,28-iii-2006,-5.138694,-5.13869444,,145.7745,"145¡46'28.2""",109,"Ron M. Clouse, Ulai, Nataniel",,
133049,,Cryptodesmidae,Aff. Pterodesmus,sp,,29/iv/2013,2_ juveniles,LIBERIA,,,Eastern Mount Nimba,??,12-i-2012,6.75,,,8.75,,??,S. Daniels,,
125816,POLYDESMIDA,Cyrtodesmidae,Cyrtodesmus,sp nov,,11/iv/2012,3__,GUATEMALA,San Marcos,,Road Bojonal-Fraternidad,Cloud forest,11.ix.2008,14.94533,,91.88038,-91.88038,,1580,,RSA 2008-107 LLAMA CATALOG,
125828,POLYDESMIDA,Cyrtodesmidae,Cyrtodesmus,sp nov,,11/iv/2012,4 juveniles,GUATEMALA,Suchitepequez,Volc‡n Atitl‡n,9.5 km SE Santiago Atitl‡n,"Cloud forest, ex sifted leaf litter",10.ix.2008,14.55833,14.55833333,,91.19,91¡11.4« W,2060,M.G. B.,MGB-933 LLAMA CATALOG,
126033,POLYDESMIDA,Cyrtodesmidae,Cyrtodesmus,sp nov,,12/iv/2012,"2__, __ plus several juveniles",MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.15342,,93.60078,-93.60078,,1330,,Wa-A-01-2-all LLAMA CATALOG,
126050,POLYDESMIDA,Cyrtodesmidae,Cyrtodesmus,sp nov,,15/iv/2012,"1_, several other specimens",MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.16001,,93.60519,-93.60519,,1360,,Wa-A-01-1-all LLAMA CATALOG,
125791,POLYDESMIDA,Fuhrmannodesmidae,??,??,,09/iv/2012,1_ juvenile,MEXICO,Chiapas,Angel Albino Corzo,"Reserva de la Bi—sfera El Triunfo, Campamento El Quetzal",Broadleft oak forest litter,21.v.2008,15.70997,,92.92914,-92.92914,,2180,R. S.A.,2008-026 LLAMA CATALOG,
125797,POLYDESMIDA,Fuhrmannodesmidae,??,??,,09/iv/2012,"2__, 3__",MEXICO,Chiapas,MarquŽs de Comillas,Lago Metzabok,lowland wet forest ex sifted leaf litter,5.vi.2008,17.12659,,91.63035,-91.63035,,570,,Wa-A-06-1-all LLAMA CATALOG,
125822,POLYDESMIDA,Fuhrmannodesmidae,??,??,,11/iv/2012,several males and females,GUATEMALA,San Marcos,,Road Bojonal-Fraternidad,Cloud forest,11.ix.2009,14.94533,,91.88038,-91.88038,,1581,,RSA 2008-108 LLAMA CATALOG,
125826,POLYDESMIDA,Fuhrmannodesmidae,??,??,,11/iv/2012,Several juvenile specimens,GUATEMALA,Suchitepequez,Volc‡n Atitl‡n,9.5 km SE Santiago Atitl‡n,"Cloud forest, ex sifted leaf litter",10.ix.2008,14.55833,14.55833333,,91.19,91¡11.4« W,2060,M.G. B.,MGB-933 LLAMA CATALOG,
129749,,Haplodesmidae,Aff. Prosopodesmus,sp,,30/v/2012,1,BRAZIL,Amazonas,Manaus,Locality 982: Reserva Florestal Adolpho Ducke,??,19-v-2012,-2.93355,,,-59.96611,,116,"L. R. Benavides, G. Giribet, W. Porto",leaf litter sifting,
129761,,Haplodesmidae,Aff. Eutrichodesmus,sp,,28/iv/2013,"2__, 2__",PAPUA NEW GUINEA,Madang Province,Madang,Locality 460. Bitabag Reserve,??,28-iii-2006,-5.138694,-5.13869444,,145.7745,"145¡46'28.2""",109,"Ron M. Clouse, Ulai, Nataniel",,
80023,POLYDESMIDA,Holistophallidae,Aff. Pammicrophallus,sp,,09/iv/2012,1_,MEXICO,Chiapas,Angel Albino Corzo,"Reserva de la Bi—sfera El Triunfo, Campamento El Quetzal",Ridge oak-forest litter,21.v.2008,15.70775,,92.93121,-92.93121,,2150,R. S.A.,2008-027 LLAMA CATALOG,
125789,POLYDESMIDA,Holistophallidae,Aff. Pammicrophallus,sp,,09/iv/2012,1_,MEXICO,Chiapas,Angel Albino Corzo,"Reserva de la Bi—sfera El Triunfo, Campamento El Quetzal",Broadleft oak forest litter,21.v.2008,15.70997,,92.92914,-92.92914,,2180,R. S.A.,2008-026 LLAMA CATALOG,
125805,POLYDESMIDA,Holistophallidae,Aff Pammicrophallus,sp,,10/iv/2012,1_,MEXICO,Chiapas,Coapilla,4.5 km NW Jct. Rds. Tapalapa/Ocotepec,Shrubby cloud forest litter,27.v.2008,17.18263,,93.11807,-93.11807,,2180,,2008-036 LLAMA CATALOG,
125818,POLYDESMIDA,Holistophallidae,Aff Pammicrophallus,sp,,11/iv/2012,"2__, 1_ juvenile",GUATEMALA,San Marcos,,Road Bojonal-Fraternidad,Cloud forest,11.ix.2008,14.94533,,91.88038,-91.88038,,1580,,RSA 2008-107 LLAMA CATALOG,
126048,POLYDESMIDA,Holistophallidae,??,??,,15/iv/2012,several juveniles specimens,MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.16001,,93.60519,-93.60519,,1360,,Wa-A-01-1-all LLAMA CATALOG,
126080,POLYDESMIDA,Holistophallidae,Aff Zuectodesmus,sp,,17/iv/2012,1_,MEXICO,Chiapas,San Cristobal de la Casas,Reserva Huitepec,"Under pines, cloud forest edge. Winkler ex sifted leaf letter",11.vii-2007,16.74476667,,92.6885333,-92.6885333,,2600,Longino,Coll. Code: JTL 6037-s; Specimen code: JTL-135427 LLAMA,
126251,,Oxydesmidae,,,,,_,CAMEROON,Littoral Province,,"Giribet Locality 786: Campo Reserve, South of Grand Batanga",,17.vi.2009,2.801195998,,,9.90418897010385,,50.11,"L. Benavides, G. Chassant, G. Giribet, J. Murienne",,
126252,,Oxydesmidae,Aff. Scytodesmus,sp,,,"2_juv, 4_juv",CAMEROON,Central Province,,"Giribet Locality 770: Ototomo forest, near Ngoumou",,05-vi-2009,3.661955008,,,11.3002490065991,,731.44,"L. Benavides, G. Giribet, G. N. Legrand, J. Murienne",,
133047,,Oxydesmidae,Aff. Oxydesmus,sp,,29/iv/2013,1_,LIBERIA,,,Eastern Mount Nimba,??,13-i-2012,6.75,,,8.75,,??,S. Daniels,,
126258,,Paradoxosomatidae,,,,,_,CAMEROON,Littoral Province,,"Giribet Locality 784: Campo Reserve, South of Grand Batanga",,17.vi.2009,2.863167,2.8631666,,9.8900333,9¡53.402',10,"L. Benavides, G. Chassant, G. Giribet, J. Murienne",,
126265,,Paradoxosomatidae,??,??,100428,,1_,THAILAND,Indochina,Rayong,,??,iv-2001,12.668462,,,101.275503,,,M. K. Nishiguchi,,
126269,,Paradoxosomatidae,??,??,,20/iv/2012,1_,PAPUA NEW GUINEA,Chimbu Province,,"Wara Sera Research Station, Crater Mountain Research Area",??,8 to 13-vii-2001,-6.533333,,,145.133333,,,"Bradler, Jarvis, Svenson",,
129763,,Paradoxosomatidae,Aff. Selminosoma,sp2,,28/iv/2013,"1_ juvenil, 1_",PAPUA NEW GUINEA,Madang Province,Madang,Locality 460. Bitabag Reserve,??,28-iii-2006,-5.138694,-5.13869444,,145.7745,"145¡46'28.2""",109,"Ron M. Clouse, Ulai, Nataniel",,
129765,,Paradoxosomatidae,Aff. Selminosoma,sp1,,28/iv/2013,"2__, 1_",PAPUA NEW GUINEA,Madang Province,Madang,Locality 460. Bitabag Reserve,??,28-iii-2006,-5.138694,-5.13869444,,145.7745,"145¡46'28.2""",109,"Ron M. Clouse, Ulai, Nataniel",,
,,Plydesmidae,,,,,1_,USA,North Carolina,Ashe Co.,Mt. Jefferson S. P.,,15-vii-2005,36.40156,36.4015555,,-81.4697222,"-81¡28'11""",,R. Clouse,,
,,Polydesmidae,Polydesmsus?,sp,,,_,ROMANIA,,Valova?,010 Romania,,,,,,,,,,,
81372,POLYDESMIDA,Pyrgodesmidae,Aff Myrmecodesmus,sp,,17/iv/2012,"17__, 29__",MEXICO,Chiapas,MarquŽs de Comillas,13.7 km NW Metzabok,"Wet forest fragment, ex sifted leaf litters, Winkler",2007,17.19051667,,91.73748333,-91.73748333,,540,Longino,JTL 135428 LLAMA CATALOG,
125798,POLYDESMIDA,Pyrgodesmidae,Aff. Myrmecodesmus,sp,,09/iv/2012,2__,MEXICO,Chiapas,MarquŽs de Comillas,Lago Metzabok,lowland wet forest ex sifted leaf litter,5.vi.2008,17.12659,,91.63035,-91.63035,,570,,Wa-A-06-1-all LLAMA CATALOG,
125820,POLYDESMIDA,Pyrgodesmidae,Aff Myrmecodesmus,sp,,11/iv/2012,2__ juveniles,GUATEMALA,San Marcos,,Road Bojonal-Fraternidad,Cloud forest,11.ix.2008,14.94533,,91.88038,-91.88038,,1580,,RSA 2008-107 LLAMA CATALOG,
